id;geom;geom_text;u;v;key;osmid;lanes;name;highway;oneway;reversed;length;maxspeed;speed_kph
233936;x1;LINESTRING(14.511969 50.0779122,14.5114639 50.0779233,14.5108719 50.0779316,14.5105674 50.0779322,14.5104846 50.0779316,14.5104466 50.0779307);178304520;7734795620;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
233939;x1;LINESTRING(14.507394 50.0777731,14.5073158 50.0777256,14.5072759 50.0776953,14.507263 50.0776811,14.5072545 50.0776665,14.5072507 50.07765);178304526;8545034922;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
233951;x1;LINESTRING(14.4922958 50.0768067,14.4912554 50.0767494,14.4908957 50.0767358,14.4906525 50.0767531,14.4903558 50.0767813,14.4897398 50.0768441,14.4897042 50.0768479,14.4896595 50.0768526,14.4892149 50.0769);178304549;178304558;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
234882;x1;LINESTRING(14.6462067 49.9921474,14.6470504 49.9930467,14.6478567 49.993957,14.6482577 49.9944387,14.6488646 49.9952404);187700640;1433464515;x5;x6;x7;x8;secondary;x10;x11;x12;70;70
236024;x1;LINESTRING(14.4076528 50.0329068,14.4083344 50.0327546,14.4083137 50.0326348,14.4079593 50.0318763,14.4080002 50.031804,14.4080657 50.0317567,14.4080473 50.0316976,14.4078113 50.0315035,14.4077626 50.0314441,14.4078014 50.031413,14.4078119 50.0314047,14.4078408 50.0313815,14.4078516 50.031373,14.4079445 50.0312986,14.4080158 50.0312445);208342604;1140270563;x5;x6;x7;x8;['residential', 'service'];x10;x11;x12;0;41
236031;x1;LINESTRING(14.4389886 50.0433508,14.4387905 50.0433595);208476320;208476325;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
236206;x1;LINESTRING(14.4852459 50.1056448,14.4850794 50.1055864,14.4841556 50.105279,14.4841211 50.1052675,14.48407 50.1052499,14.4839098 50.1051937);215111445;26164845;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
236893;x1;LINESTRING(14.4707221 50.0992553,14.4720259 50.099221,14.4723389 50.0991955,14.4725952 50.0991498);236788246;27350036;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
237416;x1;LINESTRING(14.588998 50.1504276,14.5894246 50.1507027);241776605;10706590435;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
237566;x1;LINESTRING(14.456753 50.0961332,14.4565326 50.0960848,14.455777 50.095919,14.4546333 50.0956583,14.4546082 50.0956526,14.4545685 50.0956431,14.4543731 50.0955931);243080758;26422698;x5;x6;x7;x8;primary;x10;x11;x12;50;50
237691;x1;LINESTRING(14.4291069 49.9692123,14.429173 49.9689341,14.4292656 49.9685085,14.4292524 49.9684576,14.4296011 49.9674311);243222498;5061944039;x5;x6;x7;x8;['track', 'residential'];x10;x11;x12;0;42
237702;x1;LINESTRING(14.3531967 49.9884561,14.3533025 49.9884239,14.3539194 49.9882285,14.3544262 49.9880063,14.355086 49.9876408,14.3555336 49.9873775,14.3557512 49.9872489);243260911;10707568567;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
237710;x1;LINESTRING(14.3511481 49.9892375,14.3501141 49.9900035,14.3500491 49.9900517,14.349418 49.9905195,14.3485892 49.9910038);243260946;25697596;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
237728;x1;LINESTRING(14.3469042 49.9917926,14.3466653 49.9919052,14.3455667 49.9924283,14.3452767 49.9925708);243273210;25697595;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
237747;x1;LINESTRING(14.3661217 49.9834553,14.3654869 49.9830881);243275033;386722223;x5;x6;x7;x8;secondary;x10;x11;x12;0;58
237809;x1;LINESTRING(14.3500348 50.0470551,14.3498479 50.0469629,14.3495136 50.0468227,14.34919 50.0467116,14.3487814 50.0465947,14.3481527 50.046469,14.3478429 50.0464202,14.3474784 50.0463814,14.3468445 50.0463309,14.3431855 50.0461081,14.3424088 50.0460447,14.3417823 50.0459626,14.3416254 50.045943);243297923;105066074;x5;x6;x7;x8;secondary;x10;x11;x12;70;70
238020;x1;LINESTRING(14.3336227 50.0684561,14.3335881 50.0683798,14.3335746 50.0683034,14.3335617 50.0680633,14.3335601 50.0680333,14.3335934 50.0678168,14.3335964 50.0677875,14.3336001 50.0677632,14.3336117 50.0676966);243490679;21516837;x5;x6;x7;x8;primary_link;x10;x11;x12;0;61
238426;x1;LINESTRING(14.3496267 50.0537114,14.3500968 50.053352,14.3504034 50.0530982,14.3505848 50.0529148,14.3506727 50.0528259,14.350851 50.0525859,14.3508602 50.0525733,14.3508781 50.0525514);243899832;1139720387;x5;x6;x7;x8;primary;x10;x11;x12;0;62
238466;x1;LINESTRING(14.3518093 50.050076,14.3517797 50.0501997,14.3517119 50.0504834,14.3517021 50.0505243,14.3516774 50.0506172);243900615;176927330;x5;x6;x7;x8;primary;x10;x11;x12;50;50
238474;x1;LINESTRING(14.3795049 49.9750247,14.3792782 49.9748199,14.3790071 49.974542,14.3789167 49.9744505,14.3785732 49.9740891,14.3782799 49.9737555,14.3777336 49.9730368,14.3773824 49.9725087,14.3771007 49.972039,14.3769353 49.9717228,14.3767314 49.9713308,14.3765089 49.9707769);243901257;1315434983;x5;x6;x7;x8;trunk;x10;x11;x12;80;80
238659;x1;LINESTRING(14.5693906 49.9934946,14.5698726 49.9927225,14.5699382 49.9927509,14.5701797 49.9928266,14.5703407 49.9928876,14.5704584 49.9930124,14.5706256 49.9931079,14.5718153 49.9933691,14.5719571 49.9933814,14.5720873 49.9933469,14.57221 49.9932681,14.5723134 49.9932286,14.5724092 49.9932459,14.574375 49.9936671,14.5744976 49.9936622,14.5745858 49.9936253,14.5752372 49.9930266);244016899;8123355160;x5;x6;x7;x8;['track', 'residential'];x10;x11;x12;0;42
239543;x1;LINESTRING(14.4859822 50.1465572,14.4856076 50.1456657,14.485578 50.1455985);244254923;73336867;x5;x6;x7;x8;secondary;x10;x11;x12;50;50
239615;x1;LINESTRING(14.5086556 50.0246353,14.5086578 50.0244978,14.5086533 50.0244192,14.5086476 50.0243519,14.5086355 50.0243121,14.5086134 50.0242698,14.5085849 50.0242307,14.5085415 50.0241822,14.50849 50.0241415,14.5084468 50.0241149,14.5084062 50.024095,14.508278 50.0240431,14.5081989 50.0240217,14.5080901 50.0240006,14.5079748 50.0239873);244255932;244255935;x5;x6;x7;x8;trunk_link;x10;x11;x12;50;50
239929;x1;LINESTRING(14.2447123 50.1369781,14.2449496 50.1368765,14.2452974 50.1367165,14.248819 50.1351894,14.2521017 50.1337608,14.2535494 50.1331293,14.2549548 50.1324724,14.2566023 50.1316879,14.2581861 50.1308798,14.2596597 50.1301001,14.2611163 50.1293085,14.2625269 50.1285146,14.2638937 50.1277025,14.2670171 50.1258397,14.2680899 50.1251794,14.2683052 50.1250548);244510996;24967835;x5;x6;x7;x8;motorway;x10;x11;x12;110;110
