WKT;osmid;y;x
x;723404;50.0025;14.4077
x;723408;50.0113;14.4094
x;723412;50.0125;14.404
x;723416;50.0134;14.4095
x;723418;50.0142;14.4117
x;723419;50.0124;14.4127
x;723422;50.0103;14.4148
x;723427;50.0057;14.415
x;723431;50.0038;14.4146
x;723500;50.0592;14.4193
x;723501;50.0592;14.4195
x;723504;50.0469;14.414
x;723505;50.0592;14.4211
x;723506;50.0586;14.4225
x;723507;50.0582;14.4243
x;723510;50.0562;14.423
x;723547;50.0599;14.4482
x;723578;50.0555;14.4437
x;723579;50.0553;14.4443
x;723580;50.055;14.4463
x;723581;50.0549;14.4472
x;723582;50.055;14.4482
x;723586;50.0565;14.4475
x;723587;50.0571;14.4477
x;723595;50.0578;14.4463
x;723599;50.0566;14.445
x;723666;50.0603;14.4464
x;723670;50.0603;14.4447
x;723675;50.0611;14.4438
x;723677;50.0609;14.4451
x;723680;50.0613;14.4422
x;723683;50.0619;14.4408
x;723686;50.062;14.4424
x;723689;50.0616;14.4456
x;723691;50.06;14.4432
x;723695;50.0587;14.4448
x;723707;50.0619;14.439
x;723710;50.0606;14.4383
x;724232;50.0578;14.4416
x;724235;50.0585;14.4416
x;724240;50.057;14.4413
x;724242;50.0568;14.4428
x;724244;50.0562;14.4413
x;724246;50.0556;14.4407
x;724248;50.0553;14.4411
x;724250;50.055;14.4415
x;724252;50.0545;14.4422
x;724257;50.0538;14.4373
x;724264;50.057;14.4371
x;724269;50.0616;14.4462
x;724271;50.0623;14.4514
x;724273;50.0609;14.4515
x;724278;50.0619;14.4531
x;775311;50.0353;14.4071
x;775319;50.0631;14.4163
x;775324;50.0692;14.4148
x;775553;50.0752;14.4061
x;775557;50.0731;14.4008
x;775558;50.0724;14.3987
x;775560;50.0745;14.4038
x;775657;50.079;14.2812
x;778500;50.0567;14.2768
x;1324020;50.0683;14.3599
x;1324029;50.066;14.3593
x;1324034;50.067;14.3664
x;1324037;50.0675;14.3664
x;1324044;50.0655;14.3639
